674168, 72611
4.03677e+06, 898830
2.48602e+06, 568270
5.76603e+06, 1.20307e+06
3.14503e+07, 6.18135e+06
4.82842e+06, 708611
3.20669e+06, 366382
582461, 122554
821204, 109587
1.71267e+07, 3.25141e+06
8.57165e+06, 1.83514e+06
1.28292e+06, 157918
2.82885e+06, 386078
1.45121e+06, 252952
1.12485e+07, 1.82064e+06
5.75701e+06, 1.0135e+06
2.60724e+06, 398940
3.6709e+06, 828771
3.84248e+06, 889542
6.02454e+06, 768680
5.3012e+06, 586208
1.21145e+06, 180214
8.8177e+06, 1.66187e+06
5.02541e+06, 626478
5.31802e+06, 937894
2.44364e+06, 677656
943270, 155810
8.4667e+06, 1.7329e+06
673292, 87829
1.70221e+06, 241292
1.21838e+06, 115357
7.87103e+06, 931925
1.73911e+06, 425454
2.40176e+06, 424554
1.67844e+07, 3.03353e+06
1.02618e+07, 1.8319e+06
3.35342e+06, 653138
3.54836e+06, 643191
1.13298e+07, 1.70504e+06
897088, 143682
4.09111e+06, 870807
770820, 119697
5.54026e+06, 1.15272e+06
2.18533e+07, 4.73825e+06
2.67841e+06, 372832
7.29759e+06, 944955
573083, 73790
6.34848e+06, 944304
5.20616e+06, 750748
1.55504e+06, 330446
539588, 67184
